Curveplot
CPU and Clock percentage(%)
processor ID
cpu/%
XY data
Solids    #pts=0000000048
  0.480000000000E+02  0.745000026654E-03
endcurve
Misc3     #pts=0000000048
  0.100000000000E+01  0.414391994476E+00
  0.200000000000E+01  0.414876997471E+00
  0.300000000000E+01  0.414685994387E+00
  0.400000000000E+01  0.414487004280E+00
  0.500000000000E+01  0.414433985949E+00
  0.600000000000E+01  0.414546012878E+00
  0.700000000000E+01  0.414433985949E+00
  0.800000000000E+01  0.414709985256E+00
  0.900000000000E+01  0.414422988892E+00
  0.100000000000E+02  0.414126992226E+00
  0.110000000000E+02  0.414530992508E+00
  0.120000000000E+02  0.414137005806E+00
  0.130000000000E+02  0.414332985878E+00
  0.140000000000E+02  0.414492011070E+00
  0.150000000000E+02  0.414099991322E+00
  0.160000000000E+02  0.414810001850E+00
  0.170000000000E+02  0.414415985346E+00
  0.180000000000E+02  0.414887011051E+00
  0.190000000000E+02  0.414135009050E+00
  0.200000000000E+02  0.414471000433E+00
  0.210000000000E+02  0.414420992136E+00
  0.220000000000E+02  0.414756000042E+00
  0.230000000000E+02  0.414389997721E+00
  0.240000000000E+02  0.414887011051E+00
  0.250000000000E+02  0.414370000362E+00
  0.260000000000E+02  0.414451003075E+00
  0.270000000000E+02  0.414703994989E+00
  0.280000000000E+02  0.414577007294E+00
  0.290000000000E+02  0.415666997433E+00
  0.300000000000E+02  0.415026009083E+00
  0.310000000000E+02  0.414113998413E+00
  0.320000000000E+02  0.414038002491E+00
  0.330000000000E+02  0.414121001959E+00
  0.340000000000E+02  0.414370000362E+00
  0.350000000000E+02  0.415035992861E+00
  0.360000000000E+02  0.415098011494E+00
  0.370000000000E+02  0.414128988981E+00
  0.380000000000E+02  0.414543002844E+00
  0.390000000000E+02  0.414671003819E+00
  0.400000000000E+02  0.414499014616E+00
  0.410000000000E+02  0.414682000875E+00
  0.420000000000E+02  0.415062993765E+00
  0.430000000000E+02  0.414438992739E+00
  0.440000000000E+02  0.414615988731E+00
  0.450000000000E+02  0.415324002504E+00
  0.460000000000E+02  0.415064990520E+00
  0.470000000000E+02  0.415084004402E+00
  0.480000000000E+02  0.415376991034E+00
endcurve
Misc4     #pts=0000000048
  0.100000000000E+01  0.722000026144E-03
  0.200000000000E+01  0.584999972489E-03
  0.300000000000E+01  0.579999992624E-03
  0.400000000000E+01  0.586999987718E-03
  0.500000000000E+01  0.645999971312E-03
  0.600000000000E+01  0.559000007343E-03
  0.700000000000E+01  0.572999997530E-03
  0.800000000000E+01  0.586999987718E-03
  0.900000000000E+01  0.589000002947E-03
  0.100000000000E+02  0.568000017665E-03
  0.110000000000E+02  0.569999974687E-03
  0.120000000000E+02  0.584999972489E-03
  0.130000000000E+02  0.584999972489E-03
  0.140000000000E+02  0.562999979593E-03
  0.150000000000E+02  0.571999989916E-03
  0.160000000000E+02  0.581000000238E-03
  0.170000000000E+02  0.615999975707E-03
  0.180000000000E+02  0.531000026967E-03
  0.190000000000E+02  0.612000003457E-03
  0.200000000000E+02  0.563999987207E-03
  0.210000000000E+02  0.592000025790E-03
  0.220000000000E+02  0.549999997020E-03
  0.230000000000E+02  0.590000010561E-03
  0.240000000000E+02  0.607000023592E-03
  0.250000000000E+02  0.666000007186E-03
  0.260000000000E+02  0.546999974176E-03
  0.270000000000E+02  0.554000027478E-03
  0.280000000000E+02  0.586999987718E-03
  0.290000000000E+02  0.556999992114E-03
  0.300000000000E+02  0.557999999728E-03
  0.310000000000E+02  0.595999998040E-03
  0.320000000000E+02  0.638999976218E-03
  0.330000000000E+02  0.553000019863E-03
  0.340000000000E+02  0.547999981791E-03
  0.350000000000E+02  0.564999994822E-03
  0.360000000000E+02  0.579999992624E-03
  0.370000000000E+02  0.561999971978E-03
  0.380000000000E+02  0.554999976885E-03
  0.390000000000E+02  0.571999989916E-03
  0.400000000000E+02  0.570999982301E-03
  0.410000000000E+02  0.561999971978E-03
  0.420000000000E+02  0.522000016645E-03
  0.430000000000E+02  0.581000000238E-03
  0.440000000000E+02  0.557999999728E-03
  0.450000000000E+02  0.572999997530E-03
  0.460000000000E+02  0.538999971468E-03
  0.470000000000E+02  0.561000022572E-03
  0.480000000000E+02  0.544000009540E-03
endcurve
%Solids    #pts=0000000048
  0.100000000000E+01  0.000000000000E+00
  0.200000000000E+01  0.000000000000E+00
  0.300000000000E+01  0.000000000000E+00
  0.400000000000E+01  0.000000000000E+00
  0.500000000000E+01  0.000000000000E+00
  0.600000000000E+01  0.000000000000E+00
  0.700000000000E+01  0.000000000000E+00
  0.800000000000E+01  0.000000000000E+00
  0.900000000000E+01  0.000000000000E+00
